total_area,no_of_bed_room,no_of_bath_room,city,tiles,rent_tk,balcony
1297.15,3,3,feni city,yes,22235.82,2
1628.45,4,4,feni city,yes,30000.0,2
1330.49,4,2,raipur city,yes,20451.51,3
930.14,2,1,noakhali city,yes,19585.63,2
905.58,2,2,raipur city,no,16034.16,2
1289.66,3,1,noakhali city,yes,30000.0,0
1109.9,3,2,raipur city,yes,23279.07,3
1156.25,3,3,raipur city,no,19566.65,2
1616.75,3,2,raipur city,yes,27798.37,1
1579.05,4,2,raipur city,yes,30000.0,3
1239.52,3,1,raipur city,yes,19621.24,3
1246.27,2,1,raipur city,yes,15211.11,2
1287.32,3,3,noakhali city,no,30000.0,2
1133.16,2,1,lakshmipur city,no,20295.94,2
634.05,1,1,noakhali city,yes,11836.38,0
1020.57,3,1,feni city,no,21761.27,2
1505.84,2,2,lakshmipur city,yes,26895.43,2
661.94,1,1,feni city,yes,11400.85,0
1530.91,4,3,raipur city,yes,24531.75,4
1543.08,3,2,feni city,no,26787.87,1
1148.39,3,2,lakshmipur city,no,22931.79,2
1112.62,2,1,noakhali city,yes,21033.3,1
401.72,1,1,feni city,yes,7731.65,0
1451.83,4,2,raipur city,yes,19712.66,0
1763.01,5,2,lakshmipur city,yes,30000.0,4
1750.75,5,4,noakhali city,yes,30000.0,5
625.19,2,2,noakhali city,yes,19562.42,1
1222.05,2,1,feni city,no,19486.22,2
1276.86,3,3,lakshmipur city,yes,23348.08,0
1481.52,4,4,noakhali city,yes,30000.0,2
1064.2,2,2,feni city,yes,20395.98,0
1029.55,4,2,lakshmipur city,yes,27264.83,1
1358.88,5,4,lakshmipur city,no,30000.0,5
1027.7,2,1,feni city,no,20241.98,2
1528.1,4,4,raipur city,yes,21857.49,0
1268.29,2,2,raipur city,yes,23374.26,1
1000.49,3,1,raipur city,yes,22058.0,3
996.21,2,2,noakhali city,yes,21704.7,2
1331.8,3,2,lakshmipur city,yes,26179.7,2
1164.06,3,1,noakhali city,yes,24160.93,0
639.37,1,1,raipur city,yes,9760.43,1
1072.37,2,1,lakshmipur city,no,17333.43,0
1167.38,3,1,noakhali city,no,24660.0,3
928.71,2,2,raipur city,no,19289.36,2
808.73,1,1,lakshmipur city,yes,17030.54,1
1028.55,3,3,noakhali city,yes,25303.8,0
1222.51,4,1,lakshmipur city,no,22058.53,3
874.25,1,1,lakshmipur city,yes,13565.44,0
1222.48,3,1,lakshmipur city,yes,25738.98,0
1221.14,3,1,lakshmipur city,no,19701.09,0
1206.84,3,2,raipur city,yes,18527.99,2
1502.26,5,4,raipur city,yes,30000.0,1
884.23,2,2,feni city,no,16453.9,1
1449.2,3,1,raipur city,no,23736.79,3
1448.32,3,3,noakhali city,yes,30000.0,2
930.56,2,1,noakhali city,yes,16892.92,1
1504.86,4,4,lakshmipur city,yes,30000.0,3
889.98,1,1,feni city,yes,11780.82,1
800.27,1,1,feni city,yes,11682.2,1
1513.39,4,2,raipur city,no,24803.83,0
1044.84,3,2,raipur city,yes,21653.37,0
1430.64,4,4,feni city,yes,27566.25,1
1016.54,2,2,raipur city,yes,16834.75,2
1135.5,3,2,lakshmipur city,yes,24551.48,1
1267.3,3,1,lakshmipur city,yes,29255.84,3
1188.19,3,3,raipur city,yes,21369.5,3
769.89,2,2,raipur city,no,16559.22,2
1054.46,2,1,noakhali city,yes,20697.46,1
1338.31,4,1,noakhali city,no,30000.0,3
1347.6,3,1,feni city,yes,20469.93,0
1093.62,2,1,feni city,no,19554.11,0
1294.25,3,1,lakshmipur city,no,23214.6,2
1692.08,5,1,lakshmipur city,no,30000.0,4
1003.68,1,1,raipur city,no,11233.73,1
973.15,1,1,noakhali city,no,16461.44,0
928.39,2,1,raipur city,no,15458.43,2
997.15,2,1,feni city,yes,16942.38,0
849.62,2,1,raipur city,yes,16802.04,2
783.16,2,1,noakhali city,yes,20384.48,0
1473.38,5,1,raipur city,yes,22976.34,4
1726.54,5,1,noakhali city,yes,30000.0,0
